type,points,t_all,max_memory,avg_cpu,t_plot,t_render
obj,1,2.0763654708862305,2.4,29.3220588235,0.7953288555145264,0.031639814376831055
obj,5001,2.9653189182281494,2.7,26.6754201681,1.5549290180206299,0.1832730770111084
obj,10001,3.899247407913208,2.9,25.7008064516,2.2622947692871094,0.40343379974365234
obj,15001,4.9660937786102295,1.5,25.4146464646,3.064319610595703,0.6465890407562256
obj,20001,5.932571649551392,3.6,24.7108552632,3.902629852294922,0.8268487453460693
obj,25001,6.938685655593872,3.9,25.0892463235,4.581779479980469,1.116607427597046
obj,30001,7.941425800323486,4.4,24.8905750799,5.383917331695557,1.3562874794006348
obj,35001,9.121232509613037,4.8,25.0496527778,6.217981815338135,1.6603267192840576
obj,40001,10.088224172592163,5.1,24.431121134,6.829344034194946,2.025728464126587
obj,45001,11.166789054870605,5.5,23.9090962441,7.61030125617981,2.3380184173583984
obj,50001,12.241162061691284,5.8,23.0592436975,8.373660326004028,2.6579270362854004
obj,55001,13.492116451263428,6.2,25.4074091778,9.321647882461548,2.95892333984375
obj,60001,14.694666385650635,6.5,24.0377886323,9.990007162094116,3.4812862873077393
obj,65001,15.8701171875,3.0,24.7372727273,10.775155782699585,3.8722658157348633
obj,70001,17.016465663909912,7.3,25.2262578616,11.44057011604309,4.35584020614624
obj,75001,18.32149863243103,7.7,24.9589363242,12.210343837738037,4.879985094070435
obj,80001,19.447582244873047,8.0,24.0289835165,12.966467380523682,5.264027118682861
obj,85001,20.633488178253174,8.4,22.6087516088,13.779327630996704,5.626058101654053
obj,90001,21.64865469932556,8.8,23.7672865854,14.560816049575806,5.826462030410767
obj,95001,22.56266713142395,9.2,24.5483928571,15.162643432617188,6.164677619934082
obj,100001,23.981772422790527,9.5,22.8810354374,16.184864044189453,6.588836193084717
dupliverts,1,1.26686429977417,2.5,19.9355769231,0.0028798580169677734,0.034859657287597656
dupliverts,5001,1.705134391784668,2.5,19.5522727273,0.20120453834533691,0.22626948356628418
dupliverts,10001,2.160518169403076,2.6,23.7078125,0.40875244140625,0.4397451877593994
dupliverts,15001,2.5821282863616943,2.7,23.1960106383,0.5670380592346191,0.6532847881317139
dupliverts,20001,3.0424745082855225,2.7,27.3055045872,0.8053083419799805,0.8958141803741455
dupliverts,25001,3.4912476539611816,2.8,28.2092975207,0.9884707927703857,1.0967447757720947
dupliverts,30001,3.902663230895996,2.8,24.6533333333,1.1749792098999023,1.2925448417663574
dupliverts,35001,4.299694538116455,3.0,26.0188356164,1.3636853694915771,1.5193216800689697
dupliverts,40001,4.894097089767456,3.1,31.5914110429,1.6182866096496582,1.7754011154174805
dupliverts,45001,5.3212502002716064,3.2,31.9456896552,1.7932672500610352,2.0277884006500244
dupliverts,50001,5.817524433135986,3.3,30.3440414508,2.0614819526672363,2.2024500370025635
dupliverts,55001,6.239346981048584,3.4,32.1757246377,2.2605526447296143,2.445796251296997
dupliverts,60001,6.621819019317627,3.5,30.6049311927,2.343182325363159,2.649839162826538
dupliverts,65001,7.233515739440918,3.7,32.1134279476,2.6383614540100098,2.862555503845215
dupliverts,70001,7.498056173324585,3.7,32.0136458333,2.7913715839385986,3.075615167617798
dupliverts,75001,7.866941452026367,3.8,28.5808070866,2.826521396636963,3.379091262817383
dupliverts,80001,8.359349250793457,4.0,29.8104323308,3.0692269802093506,3.6005969047546387
dupliverts,85001,8.867778062820435,4.0,33.5080645161,3.335814952850342,3.8450100421905518
dupliverts,90001,9.255129337310791,4.2,28.3704467354,3.4700276851654053,4.033271074295044
dupliverts,95001,9.952917098999023,4.2,32.9154984424,3.8518550395965576,4.339813709259033
dupliverts,100001,10.318711042404175,4.4,33.3891337386,3.966233968734741,4.534929990768433
